blades_from_code,catalog_file,coating,code_type,extra_length_mm,form,image_file,image_height_px,image_width_px,material,overall_length_mm,page,product_code,profile_code,shank_diameter_mm,system_code,working_diameter_mm_detected,working_diameter_mm_from_code,x,y,yt_reference
4,CABINET (3).pdf,without coating,numeric,22.3,cylindric radial cutter,,,,tungsten carbide,4.0,72,500 104 274 223 060,,1.0,,,6.0,194.0938720703125,408.3747100830078,
8,CABINET (3).pdf,without coating,numeric,14.0,cylindric radial cutter,,,,tungsten carbide,4.0,72,500 104 278 140 040,,1.0,,,4.0,434.958251953125,757.4613952636719,
8,CABINET (3).pdf,without coating,numeric,19.0,cylindric radial cutter,,,,tungsten carbide,4.0,73,500 104 278 190 040,,1.0,,,4.0,194.0942840576172,489.14622497558594,
1,CABINET (3).pdf,without coating,numeric,25.8,,,,,tungsten carbide,5.0,49,500 105 001 258 023,,1.0,,2.3,2.3,113.49528503417969,753.9693298339844,
1,CABINET (3).pdf,without coating,numeric,25.8,,,,,tungsten carbide,5.0,49,500 105 001 258 027,,1.0,,,2.7,193.786865234375,753.9693298339844,
1,CABINET (3).pdf,without coating,numeric,25.8,,,,,tungsten carbide,5.0,49,500 105 001 258 031,,1.0,,,3.1,274.0788803100586,753.9693298339844,
1,CABINET (3).pdf,without coating,numeric,25.8,,,,,tungsten carbide,5.0,49,500 105 001 258 035,,1.0,,,3.5,354.3672790527344,753.9693298339844,
1,CABINET (3).pdf,without coating,numeric,25.8,,,,,tungsten carbide,5.0,49,500 105 001 258 040,,1.0,,,4.0,434.6552734375,753.9693298339844,
1,CABINET (3).pdf,without coating,numeric,7.1,,,,,tungsten carbide,4.0,18,500 204 001 071 018,,2.0,,,1.8,274.3817901611328,518.1761169433594,
1,CABINET (3).pdf,without coating,numeric,7.1,,,,,tungsten carbide,4.0,18,500 204 001 071 023,,2.0,,,2.3,354.66978454589844,518.1761169433594,
1,CABINET (3).pdf,without coating,numeric,17.5,,,,,tungsten carbide,4.0,10,500 204 001 175 010,,2.0,,1.0,1.0,108.09869003295898,455.3137969970703,
1,CABINET (3).pdf,without coating,numeric,17.5,,,,,tungsten carbide,4.0,10,500 204 001 175 012,,2.0,,1.2,1.2,176.97869110107422,455.3137969970703,
1,CABINET (3).pdf,without coating,numeric,17.5,,,,,tungsten carbide,4.0,10,500 204 001 175 014,,2.0,,1.4,1.4,245.8626708984375,455.3137969970703,
1,CABINET (3).pdf,without coating,numeric,17.5,,,,,tungsten carbide,4.0,10,500 204 001 175 016,,2.0,,1.6,1.6,314.74269104003906,455.3137969970703,
1,CABINET (3).pdf,without coating,numeric,17.5,,,,,tungsten carbide,4.0,10,500 204 001 175 018,,2.0,,1.8,1.8,383.6266784667969,455.3137969970703,
